Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YPM01,Pure Mathematics,Oct-20,30,7.0,19.0,21.0,27.0,29.0,29.0,30
XPM01,Pure Mathematics,Oct-20,39,,22.0,28.0,32.0,33.0,34.0,39
YPM01,Pure Mathematics,Oct-21,22,1.0,8.0,13.0,19.0,20.0,21.0,22
XPM01,Pure Mathematics,Oct-21,11,,5.0,7.0,8.0,8.0,11.0,11
YPM01,Pure Mathematics,Oct-22,13,1.0,6.0,9.0,10.0,12.0,13.0,13
YPM01,Pure Mathematics,Oct-23,11,0.0,2.0,5.0,10.0,11.0,11.0,11
YPM01,Pure Mathematics,Jan-19,24,0.0,6.0,18.0,23.0,24.0,24.0,24
XPM01,Pure Mathematics,Jan-19,61,,17.0,26.0,34.0,44.0,49.0,61
YPM01,Pure Mathematics,Jan-20,34,1.0,14.0,27.0,31.0,33.0,34.0,34
XPM01,Pure Mathematics,Jan-20,44,,12.0,17.0,25.0,31.0,35.0,44
YPM01,Pure Mathematics,Jan-21,29,6.0,21.0,22.0,27.0,29.0,29.0,29
XPM01,Pure Mathematics,Jan-21,15,,7.0,11.0,12.0,14.0,14.0,15
YPM01,Pure Mathematics,Jan-22,28,5.0,16.0,22.0,24.0,25.0,26.0,28
XPM01,Pure Mathematics,Jan-22,10,,5.0,8.0,9.0,10.0,10.0,10
YPM01,Pure Mathematics,Jan-23,26,2.0,9.0,18.0,20.0,23.0,26.0,26
XPM01,Pure Mathematics,Jan-23,30,,14.0,21.0,26.0,26.0,28.0,30
YPM01,Pure Mathematics,Jan-24,32,3.0,13.0,20.0,23.0,25.0,27.0,32
XPM01,Pure Mathematics,Jan-24,39,,8.0,11.0,15.0,17.0,23.0,39
YPM01,Pure Mathematics,Jun-17,327,33.0,128.0,224.0,264.0,293.0,306.0,327
XPM01,Pure Mathematics,Jun-17,262,,91.0,135.0,174.0,205.0,218.0,262
YPM01,Pure Mathematics,Jun-18,329,23.0,137.0,216.0,259.0,299.0,310.0,329
XPM01,Pure Mathematics,Jun-18,258,,112.0,150.0,172.0,193.0,212.0,258
YPM01,Pure Mathematics,Jun-19,380,31.0,176.0,271.0,324.0,348.0,371.0,380
XPM01,Pure Mathematics,Jun-19,260,,102.0,145.0,174.0,200.0,222.0,260
YPM01,Pure Mathematics,Jun-20,274,91.0,208.0,249.0,269.0,273.0,274.0,274
XPM01,Pure Mathematics,Jun-20,209,,134.0,158.0,194.0,201.0,207.0,209
YPM01,Pure Mathematics,Jun-21,389,134.0,298.0,353.0,376.0,385.0,389.0,389
XPM01,Pure Mathematics,Jun-21,264,,168.0,213.0,240.0,252.0,257.0,264
YPM01,Pure Mathematics,Jun-22,235,60.0,140.0,177.0,198.0,218.0,226.0,235
XPM01,Pure Mathematics,Jun-22,231,,122.0,157.0,186.0,201.0,214.0,231
YPM01,Pure Mathematics,Jun-23,206,28.0,108.0,146.0,167.0,188.0,199.0,206
XPM01,Pure Mathematics,Jun-23,227,,125.0,156.0,175.0,196.0,205.0,227
YPM01,Pure Mathematics,Jan-14,18,5.6,44.4,72.2,83.3,83.3,88.9,100
XPM01,Pure Mathematics,Jan-14,59,,27.1,42.4,54.2,64.4,71.2,100
YPM01,Pure Mathematics,Jan-15,26,3.8,53.8,80.8,84.6,100.0,100.0,100
XPM01,Pure Mathematics,Jan-15,59,,27.1,30.5,39.0,50.8,66.1,100
YPM01,Pure Mathematics,Jan-16,65,4.6,44.6,80.0,93.8,100.0,100.0,100
XPM01,Pure Mathematics,Jan-16,45,,42.2,66.7,75.6,86.7,91.1,100
YPM01,Pure Mathematics,Jan-17,40,0.0,45.0,70.0,85.0,97.5,100.0,100
XPM01,Pure Mathematics,Jan-17,77,,16.9,44.2,62.3,70.1,83.1,100
YPM01,Pure Mathematics,Jan-18,54,1.0,27.0,44.0,52.0,53.0,53.0,54
XPM01,Pure Mathematics,Jan-18,89,,21.0,40.0,57.0,70.0,76.0,89
YPM01,Pure Mathematics,Jun-14,142,9.2,39.4,60.6,73.2,85.9,90.1,100
XPM01,Pure Mathematics,Jun-14,98,,55.1,75.5,89.8,92.9,96.9,100
YPM01,Pure Mathematics,Jun-15,227,6.6,27.8,50.2,67.8,79.7,88.1,100
XPM01,Pure Mathematics,Jun-15,246,,32.5,53.3,63.4,75.6,81.3,100
YPM01,Pure Mathematics,Jun-16,281,11.4,37.7,61.2,78.3,88.3,96.4,100
XPM01,Pure Mathematics,Jun-16,236,,34.3,58.1,70.3,82.6,90.7,100
